effect	10	20	30	40	50
0	95.7	96.3	96.6	96.4	97.1
-0.2	96.3	96.8	95.1	97.4	96.6
-0.4	96.9	96.9	97	96.3	96.8
-0.6	96.4	96.9	96.5	95.9	95.2
-0.8	96.7	95.4	95.9	95.7	94.1
-1	95.5	95	94.4	93.2	93.3
-1.2	95.5	94	92.8	91.4	87.4
-1.4	95.4	92.1	91.4	88.7	85
-1.6	94.3	91.4	89.3	80.8	78.8
-1.8	93.3	88	80.6	74.8	69.9
-2	92.4	85.6	73.5	67	57.8
